,id,denv,ev,hav,hcv,rv,wang_229E,wang_OC43,wang_SARS_COV2,sch_229E,sch_OC43,sch_SARS_COV2_33C,sch_SARS_COV2_37C
0,A1BG,-5.1353,-5.7748,-0.20281,0.48856,0.59405,0.24008,0.084842,-0.23146,-0.892,-0.70869,0.055577,0.17268
1,A1CF,-4.1388,-4.1934,2.2022,0.044938,0.44706,-0.54433,-1.0047,-0.28662,-0.30008,-0.26633,0.056403,-0.12624
2,A2M,-4.6345,-4.7433,-0.22694,0.44794,-1.2152,-0.0038597,-0.37703,-0.04168,0.73836,-0.43486,-0.036875,-0.26368
3,A2ML1,-5.4898,-5.7907,-0.107,-0.031941,-0.8301,-0.54493,0.54882,1.0646,0.25028,0.2561,0.32552,0.36513
4,A3GALT2,-4.8467,-3.6825,0.063201,0.8892,0.038017,-0.75345,-0.79098,0.04234,0.1837,-0.23411,-0.48868,-0.53767
5,A4GALT,-6.2329,-2.5623,-0.11883,-0.32977,-1.1174,-0.50201,0.35902,-1.1894,-2.6333,0.030579,0.2479,0.18147
6,A4GNT,-5.2003,-2.2797,-0.24381,0.79714,-0.65421,-0.05875,-0.65629,-0.020096,0.0096103,-0.64745,-0.09789,-0.49407
7,AAAS,-4.8578,-4.3391,-0.39015,-1.396,-0.92226,-0.082258,-0.59032,-1.9334,-3.7786,-1.8878,0.51609,0.44075
8,AACS,-5.3116,-4.1111,-0.3135,-0.046795,1.0618,0.27219,-0.30549,-0.82995,-4.4519,-0.21754,-0.19227,0.16409
9,AADAC,-4.5325,-2.3862,-0.14016,0.095889,0.37128,-0.050636,-0.26057,-0.031147,0.44982,-0.016911,-0.030777,0.074585
10,AADACL2,-5.3459,-5.1639,-0.094376,0.63443,0.19728,0.046919,0.015141,-0.62351,-0.16112,-0.5804,-0.21854,-0.35103
11,AADACL3,-5.2694,-4.5703,0.19581,0.38708,-0.53695,0.042384,-0.21912,-1.5532,-5.047,-0.55887,0.013622,-0.30551
12,AADACL4,-4.6071,-4.8928,-0.57138,0.1803,-1.4155,0.02631,0.13186,-1.4125,-6.6035,-0.14947,0.13327,-0.25628
13,AADAT,-5.4607,-3.7388,-0.19911,0.063584,1.0982,0.39894,0.16589,0.26839,1.1342,-0.34904,0.3361,0.80332
14,AAED1,-3.4926,-2.7645,-0.020492,0.38034,0.50056,-0.074939,-0.070047,-0.030439,-6.0899,-0.92236,0.25768,0.4485
15,AAGAB,-5.7435,-5.0361,-0.038248,0.36574,0.24596,-0.16765,-0.46423,-1.1454,-4.3735,0.30344,0.032669,-0.56716
16,AAK1,-4.7512,-4.6072,-0.71763,-1.3816,-1.4328,0.12252,-0.3654,-1.4484,-6.4644,-0.17001,-0.058931,0.25488
17,AAMDC,-5.1686,-1.0359,-0.54724,0.2935,-0.51508,-0.13519,-0.60634,-0.20287,-1.5153,-0.10115,0.14967,0.50514
18,AAMP,-5.6431,-4.4308,-0.17291,-0.20956,0.82837,-0.60528,-0.51695,-0.97351,-2.664,-0.03051,-0.58714,-0.67686
19,AANAT,-4.3985,-5.0017,-0.1067,0.75744,-1.4229,-0.86601,-0.79475,-1.613,1.0804,-0.41245,0.094662,-0.07106
20,AAR2,-4.5457,-4.155,-0.07678,-0.29107,-1.0778,0.090146,-0.19018,-0.26397,-0.89185,-0.15571,0.091931,0.33556
21,AARD,-4.9908,-2.7372,0.10036,-0.14646,-0.35215,-0.4468,0.73332,0.20495,-1.1438,-0.68206,-0.39498,-0.43668
22,AARS,-3.9357,-4.1774,-0.47789,-0.85251,-1.0536,-2.1043,-1.4997,-2.4991,-1.9409,-1.4509,1.0632,0.53545
23,AARS2,-5.4067,-5.1097,-0.51185,-1.0213,0.49865,-0.54484,-0.73721,-0.53587,1.5719,1.8828,1.701,0.20253
24,AARSD1,-4.9495,-2.9699,-0.49834,-0.40731,0.62734,-0.13603,-0.4518,0.097766,0.25304,-0.83538,0.20301,-0.12548
25,AASDH,-4.6897,-5.1919,-0.42726,-0.6132,-0.2535,-0.11784,0.043059,-0.74653,-4.0255,-0.16282,-0.19265,-0.15924
26,AASDHPPT,-5.9186,-3.1106,-0.33296,-1.0793,-0.25641,-1.085,-1.166,-1.9019,-4.0886,2.1347,3.4005,1.7591
27,AASS,-4.6822,-4.1833,-0.090138,0.02389,-0.70334,0.032103,-0.32416,-1.473,-0.18598,-0.89779,0.010516,0.27683
28,AATF,-4.9258,-4.3473,-0.64163,-0.45026,-0.90612,-1.1589,-0.84498,-0.35191,-0.42946,-0.056235,0.36174,-0.0026108
29,AATK,-4.4563,-4.4287,-0.25538,0.34442,-1.5011,0.24241,-0.025585,-0.63103,-3.3293,-0.30366,-0.22912,-0.048434
30,ABAT,-5.0529,-4.5235,-0.25426,-1.3218,0.37524,-0.36123,0.076951,-0.64974,-0.84233,-0.63841,0.0024448,-0.52676
31,ABCA1,-4.6451,-4.2925,-0.23903,-0.42927,-0.27423,-0.64817,-0.28916,-0.51388,-3.8424,-2.1523,0.11498,-0.31231
32,ABCA10,-5.0401,-6.1907,0.0059414,0.84671,0.22074,0.31148,-0.22759,0.082723,-4.6217,0.15041,-0.54667,-0.69078
33,ABCA12,-5.5836,-5.8994,-0.28991,0.35161,0.051174,-0.18135,0.15613,-0.44065,1.1828,-0.30533,0.037387,-0.066477
34,ABCA13,-5.7275,-4.8047,-0.14394,-0.057175,0.28451,-0.21106,-1.0039,-0.64896,-2.417,-0.16225,-0.34184,-0.68356
35,ABCA2,-4.6717,-4.8638,-0.042107,-0.13515,0.1169,-0.20591,-0.76414,0.14523,-2.637,-0.33162,-0.49648,-0.40072
36,ABCA3,-4.921,-5.7285,-0.31773,0.59356,0.50933,-0.089031,0.21761,-0.33575,0.056309,-0.3118,0.32812,0.059179
37,ABCA4,-5.9008,-4.3,-0.23682,-0.20451,-0.024617,-0.56418,0.0067451,-1.0062,-2.7364,0.04433,0.066249,0.32515
38,ABCA5,-5.4492,-4.8742,0.16087,0.22397,0.046915,-0.13853,-0.42372,0.24029,-3.9989,-0.61785,0.015831,-0.12389
39,ABCA6,-5.9201,-5.3361,-0.26762,0.6916,-2.3914,-0.037666,0.44155,-0.51141,0.70539,-0.19235,0.03029,0.095371
40,ABCA7,-4.7163,-4.1453,-0.50624,-0.60322,-0.41685,-0.5161,0.54742,-0.78441,-1.3369,-0.59734,-0.081737,-0.29245
41,ABCA8,-5.3947,-2.8435,-0.11335,0.38525,0.7271,0.3042,-0.30174,0.53642,-4.11,-0.49215,-0.53183,-0.13668
42,ABCA9,-3.9865,-5.4727,0.73872,-0.27949,-0.82572,-0.12676,-0.2068,-0.011989,0.022306,-0.56555,-0.2383,-0.43443
43,ABCB1,-4.4593,-4.65,-0.41534,0.86137,1.1156,-0.90028,0.63171,-1.1156,-3.7133,-0.43872,0.19388,0.30338
44,ABCB10,-5.3248,-4.7619,-0.23857,0.30735,1.1305,-0.38821,-0.002691,0.01741,-1.0203,-0.82447,-0.15278,-0.14683
45,ABCB11,-5.3066,-2.2743,0.045359,1.0893,-0.35814,-0.23023,-0.18328,0.03783,-0.98627,0.18154,-0.27034,-0.47469
46,ABCB4,-4.8779,-4.8123,0.16494,-0.14427,-0.92169,-0.4091,-0.42692,0.16844,-2.8451,1.3407,-0.49099,0.046041
47,ABCB5,-5.5309,-4.9221,-0.72654,0.30774,-1.0978,-0.14881,-0.5629,-0.0033886,-0.93144,0.28096,0.35743,0.29535
48,ABCB6,-4.9321,-4.9099,-0.079988,0.40972,-0.37008,-0.57119,0.068127,-0.5139,-3.4681,-1.1617,-0.31642,0.22581
49,ABCB7,-5.3162,-5.3266,-0.43528,-0.58597,-2.2825,-0.75105,-0.35531,-1.1217,-6.1266,0.83517,0.92596,0.54505
50,ABCB8,-5.0504,-4.2175,-0.43205,1.1476,-0.33363,0.031346,-0.169,-1.4973,-0.71768,-1.4018,-0.16355,-0.68288
51,ABCB9,-5.7701,-4.9409,-0.44551,-0.26392,-0.50689,-0.21147,-0.39894,-0.42754,-6.1168,-1.6935,-0.18082,-0.64315
52,ABCC1,-6.0889,-5.3947,0.015359,0.4227,1.0403,-0.068217,-0.5942,-1.3378,-1.4511,-0.17543,0.088981,0.30052
53,ABCC10,-4.5397,-5.1401,0.084033,0.63134,-1.2974,-0.43759,0.083994,-0.19339,-4.0344,-0.54949,-0.1739,-0.40404
54,ABCC11,-5.5087,-5.4175,0.28087,-0.13085,-1.2589,-0.43332,-0.10051,0.13949,-4.7571,-0.32125,-0.15527,-0.12675
55,ABCC12,-4.7946,-3.2131,-0.015678,-0.11233,-2.6567,-0.13227,-0.48905,-0.20706,-0.8239,-0.83767,-0.099421,-0.43027
56,ABCC2,-4.183,-1.3878,-0.40945,0.35454,-0.42871,0.038608,-0.26693,-1.4246,-6.6113,-0.49822,-0.3661,-0.2917
57,ABCC3,-4.7438,-4.5097,-0.055881,-0.16943,-1.0763,-0.81478,-0.76836,-1.6932,-2.8065,-0.30484,0.20648,0.13489
58,ABCC4,-5.3658,-5.5972,0.29142,-0.058694,0.0057168,0.027366,0.22965,-0.082943,-1.6047,-0.60098,0.32437,0.037618
59,ABCC5,-4.7449,-5.7303,-0.65368,0.44386,-0.26156,-0.60093,-0.31037,-0.67702,-6.797,-1.0512,-0.34025,-0.69427
60,ABCC6,-4.7343,-5.6638,-0.28567,0.52785,1.2586,-0.41105,-0.72473,-0.60678,-0.70135,-0.17318,-0.0021652,-0.19258
61,ABCC8,-5.5384,-5.5099,0.035603,0.42155,-0.6763,0.06797,-0.71427,-0.68349,-0.34152,-0.69233,0.14405,0.17174
62,ABCC9,-4.9243,-1.7314,-0.17591,0.17326,-0.70134,-0.37431,-0.56088,0.22172,-1.6644,0.26976,-0.15203,0.1608
63,ABCD1,-4.4475,-4.9085,0.013892,-0.06596,-0.45366,0.19753,-0.089619,-0.57767,-0.55178,-0.60563,-0.21083,-0.48224
64,ABCD2,-5.1142,-5.0287,-0.43104,0.76441,-2.4222,0.28566,-0.28922,0.041432,-1.4504,-0.10509,-0.42823,-0.57156
65,ABCD3,-5.9768,-4.5075,0.12186,0.44073,-1.0093,0.04235,-0.31995,-0.36912,1.4391,0.10132,0.19706,-0.30196
66,ABCD4,-4.0354,-5.2973,-0.48738,-0.537,0.8652,-0.089763,-0.53764,-0.74871,-2.7941,0.25375,0.4976,0.15107
67,ABCE1,-4.9407,-5.0885,-0.25995,-0.39264,-1.0704,-0.69344,-0.6331,-0.32843,-2.957,-0.93014,1.4683,-0.27431
68,ABCF1,-4.1891,-4.6333,0.56657,-0.2641,-2.8268,-0.63373,-0.64936,-0.1018,-0.39407,0.045271,0.25574,0.72728
69,ABCF2,-4.639,-5.2705,-0.29487,0.38224,-1.0895,0.02594,-0.17834,0.076354,-0.59427,-1.0193,-0.0011321,-0.24783
70,ABCF3,-4.2157,-4.8773,0.4615,0.40813,-0.65044,-0.0037629,-0.16397,0.20295,-4.538,-0.42216,0.17708,-0.15591
71,ABCG1,-5.7735,-4.4336,-0.101,0.13441,0.84924,-0.18178,-0.36412,-0.38257,0.33417,-0.058034,0.2452,0.24348
72,ABCG2,-4.5743,-5.1718,0.11781,-0.18289,0.022182,-0.21159,-0.18442,0.10429,-0.71435,-0.53059,-0.16331,-0.28259
73,ABCG4,-4.6026,-3.6039,-0.29588,-0.19719,-1.705,-0.58198,-0.67453,-0.31066,0.16468,0.076594,0.02393,-0.25529
74,ABCG5,-4.3553,-3.9078,0.12124,0.14329,0.59795,-0.34554,-0.42927,-0.87173,-0.49124,-1.1787,0.0097437,-0.069021
75,ABCG8,-4.4487,-4.2245,0.17189,0.54683,-0.95818,0.13536,0.27829,-1.0736,-2.3512,-0.12633,-0.09777,-0.22677
76,ABHD1,-4.16,-2.5375,-0.084996,-0.70635,-0.43947,-0.080706,-0.50154,0.0022931,-0.13968,-0.068284,-0.12614,0.28934
77,ABHD10,-3.3479,-2.3912,-0.55573,0.35453,0.22358,-0.1722,-0.4261,-1.3775,-2.3655,-1.4019,-0.29175,-0.57704
78,ABHD11,-5.0767,-2.3918,-0.20451,-0.27806,-2.4292,-0.56661,-0.53048,-1.7545,-0.74799,-0.47314,-0.066714,-0.74845
79,ABHD12,-5.6737,-5.3073,-0.34971,0.11813,-0.32528,0.56485,-0.34839,0.84634,-1.8426,-0.33031,-0.53688,-0.39082
80,ABHD12B,-4.5303,-4.5346,-0.40762,-0.1237,-0.26993,0.10166,-0.38371,0.43857,-1.3403,-0.035947,-0.30892,-0.058163
81,ABHD13,-5.4723,-3.3216,-0.098707,-0.15814,0.44717,0.17987,-0.58627,-0.15132,0.034349,0.061097,-0.21572,-0.30129
82,ABHD14A,-4.3136,-4.3281,0.17185,0.84622,-0.15228,-0.043426,-0.64724,-1.045,-0.51095,0.44758,-0.18131,-0.42209
83,ABHD14B,-4.4332,-4.1519,-0.2515,0.29653,-0.36378,-0.15044,-0.24186,-0.3784,-0.61297,-0.22071,-0.18031,-0.13048
84,ABHD15,-4.6585,-4.0853,-0.59439,-0.20152,-1.6429,-0.41399,-0.58936,-0.32163,-6.1997,-0.15463,-1.5171,-1.0368
85,ABHD16A,-4.2082,-5.2247,-0.54465,0.61256,0.10398,-0.79934,-0.33079,-0.27392,-2.7016,-0.71592,-0.015116,-0.25852
86,ABHD16B,-5.4863,-4.3411,-0.019961,0.33968,-0.69809,-0.33253,0.052128,-0.094889,-1.2856,0.39869,-0.3149,0.085021
87,ABHD17A,-4.0141,-2.5915,-0.13957,0.088394,-0.59632,-0.33998,-0.65497,-0.9668,2.8528,1.2535,2.3677,1.6992
88,ABHD17B,-5.8761,-5.1586,0.18871,-1.2369,-0.79536,-0.5306,-0.31354,0.2212,1.4112,-0.81374,0.25147,-0.39995
89,ABHD17C,-5.1343,-3.9932,-0.20784,0.23423,-0.58374,0.48667,-0.61602,-0.044125,0.23808,-0.17481,-0.70293,0.12039
90,ABHD2,-4.3412,-4.8799,0.18692,-0.67436,-0.83103,0.14705,0.149,0.50949,-0.22705,-0.79454,-0.3796,-0.51499
91,ABHD3,-4.9422,-5.1526,0.24508,-0.064965,0.026,-0.51476,-0.52367,0.44803,-7.2313,-0.062225,-1.1135,-0.54848
92,ABHD4,-4.4698,-4.5259,-0.14666,0.14448,-1.4842,-0.25829,-0.065355,-0.36994,-0.0022865,-0.39501,-0.60243,-0.81044
93,ABHD5,-4.8354,-3.4747,-0.7039,-0.47281,0.022623,0.065457,-0.35363,-0.38757,-6.6745,0.37516,0.026021,0.73256
94,ABHD6,-4.9908,-3.2436,-0.0036464,-0.37742,-1.2793,-0.059387,0.1998,-1.2211,-5.8021,-0.87834,-0.09046,-0.39795
95,ABHD8,-6.3085,-4.2437,-0.19313,0.16586,0.13159,0.45547,-0.30947,0.0053936,-1.7605,-0.21403,-0.047985,-0.078164
96,ABI1,-5.6913,-5.2558,0.02222,0.014187,-0.63224,-0.24978,-0.38731,-0.52733,-0.29118,-0.29986,0.65393,0.34765
97,ABI2,-5.3903,-4.3473,0.0056614,-0.30295,-0.78276,-0.3345,-0.38536,-0.49938,-0.63032,-1.1053,-0.38007,-0.34783
98,ABI3,-4.3308,-4.0848,-0.10049,0.043854,-0.024052,-0.12326,-0.5367,-1.2409,-0.91044,-0.20912,-0.24757,0.13978
99,ABI3BP,-5.106,-4.7945,-0.12592,0.46874,0.60935,0.069493,0.15807,-0.2847,1.8973,0.25407,-0.23498,-0.41822
100,ABL1,-5.5605,-5.2376,-0.22924,0.21143,-1.4483,-0.34332,-0.45539,-1.404,-0.49722,0.81094,0.15541,-0.29613
101,ABL2,-4.2373,-4.3503,-0.19841,0.8063,-1.1148,-0.19963,-0.048272,0.42501,-3.32,-0.73451,0.35398,-0.25169
102,ABLIM1,-5.6154,-5.5682,-0.062321,0.67907,-0.36457,-0.18958,0.11561,-0.084542,-4.35,-0.19544,-0.08687,-0.1418
103,ABLIM2,-5.5262,-4.968,-0.083677,-0.88843,-1.0227,-0.016797,-0.12053,-0.48612,-0.72796,-0.021223,0.26474,-0.43329
104,ABLIM3,-4.6673,-5.0277,-0.17993,1.0729,-0.11799,0.037038,0.46196,-0.69269,-0.72503,-0.41948,-0.0079247,-0.1198
105,ABO,-4.2807,-3.337,0.0027503,0.42633,-0.70057,0.31737,-0.019865,-0.21759,-1.1904,-1.1766,0.5792,0.34935
106,ABR,-5.6096,-4.9368,-0.1139,-0.29516,-0.39663,-0.019955,-0.57305,-0.49953,-0.041698,-1.005,-0.088737,0.23135
107,ABRA,-5.9584,-4.3368,0.3507,-0.34313,-0.060823,-0.22724,-0.23005,-0.47122,-1.2688,-0.093864,-0.25032,-0.29664
108,ABRACL,-5.2829,-4.8513,0.20342,0.29556,0.12219,-0.46684,0.29124,0.48872,0.51485,-0.13399,0.12965,0.26232
109,ABT1,-5.4953,-4.3747,-0.48419,-1.0929,-0.75428,-1.1027,-1.2932,-1.1476,-1.657,-0.13299,0.8551,-0.65659
110,ABTB1,-5.6818,-4.6132,-0.27944,-0.047536,0.67558,-0.47542,-0.36782,-0.49298,-6.5253,-1.8099,-0.42982,-0.12289
111,ABTB2,-4.351,-4.6338,0.091452,0.67523,-0.93943,0.010518,0.078607,0.073093,0.28071,-0.14912,-0.18022,-0.090774
112,ACAA1,-4.0678,-4.4857,0.019172,0.70347,0.12534,-0.37519,-0.26821,-0.8039,-1.088,-0.49986,-0.29926,-0.44217
113,ACAA2,-5.7728,-5.5423,-0.17998,0.61627,0.0097407,-0.090868,0.40883,-0.20038,-3.8346,-1.0508,0.0092453,-0.55241
114,ACACA,-4.9781,-2.2735,1.1678,0.3401,0.15744,-0.0089352,-0.49805,0.1514,0.27842,0.15381,0.018165,-0.74802
115,ACACB,-5.7958,-6.2875,-0.38321,0.27017,-0.64966,-0.071161,-0.13873,0.1387,-1.2584,0.10331,-0.17064,0.2134
116,ACAD10,-5.8916,-5.1218,-0.20799,0.072471,-0.0014367,-0.19753,-0.28027,-0.58979,-5.5485,-0.074972,-0.050093,0.56621
117,ACAD11,-4.9878,-4.6788,-0.054638,0.53186,0.22744,-0.11225,-0.48282,-0.76818,-3.9159,-0.45108,0.54402,0.12868
118,ACAD8,-3.5393,-4.6825,-0.50703,0.44367,-0.16228,-0.35294,-0.6413,-0.33522,0.14273,-1.0125,-0.0018718,-0.077755
119,ACAD9,-4.2848,-5.1159,0.454,0.27323,-0.84485,-0.11974,-0.090608,-0.24779,0.81194,0.14587,0.20604,-0.27684
120,ACADL,-4.9284,-3.3004,-0.055239,0.57461,-0.20007,0.018042,-0.42987,0.34866,0.91413,-0.20912,0.21985,-0.055532
121,ACADM,-4.3288,-4.4809,0.12175,0.37801,-1.1151,-0.11753,-0.022753,-0.23251,-4.0575,-0.031874,0.097166,0.11941
122,ACADS,-4.8481,-5.312,-0.16262,0.91001,0.69612,-0.011692,-0.48825,-0.83952,-1.1083,-0.80905,-0.47558,-0.06436
123,ACADSB,-4.244,-6.0822,-0.33169,0.18788,-0.28996,-0.10631,0.062994,0.18608,-0.40033,-0.65115,-0.30723,-0.47799
124,ACADVL,-3.8241,-3.7993,-0.6975,-1.8705,-3.1926,0.37142,-1.1657,-1.7308,-0.3701,-0.37963,-0.57328,-1.0324
125,ACAN,-5.1269,-4.6756,-0.11782,0.47193,0.43572,-0.22514,-0.038657,-0.73076,0.55606,-1.1213,-0.15571,0.19046
126,ACAP1,-4.8145,-5.4301,-0.48848,0.39806,-1.1387,-0.22496,-0.66001,-0.2811,0.18865,-0.65537,0.020289,0.06544
127,ACAP2,-3.6086,-3.6465,-0.12271,-0.042737,-0.30211,-0.38032,-0.52622,0.38169,-0.59123,-0.78236,-0.15034,-0.19182
128,ACAP3,-5.5554,-4.7304,-0.7117,-0.24668,0.012724,-0.40615,-1.0328,-0.5002,0.51197,-0.1192,0.13857,-0.073795
129,ACAT1,-3.3641,-5.8687,-0.091192,0.92181,0.24723,0.039819,0.067815,-0.7143,-2.5934,-0.0033411,0.34953,0.32068
130,ACAT2,-4.9307,-4.8214,-0.059232,0.37591,-0.40563,-0.12055,0.049477,0.20512,-0.026689,0.34704,0.87046,0.51304
131,ACBD3,-4.309,-4.2695,-0.17592,-0.64346,-0.41683,0.12706,-0.50389,-1.4066,-1.1775,-0.37213,-0.5241,-0.14048
132,ACBD4,-5.2092,-4.0212,-0.66735,-0.78937,-1.1377,-0.62599,-0.75882,-0.66728,-0.80107,0.25972,-0.01097,-0.065715
133,ACBD5,-4.8982,-4.4943,-0.080366,0.97062,0.011126,0.0032549,-0.081372,0.098773,0.3319,-0.18518,0.070117,-0.24527
134,ACBD6,-4.3734,-2.8029,-0.0393,-0.61955,-0.027776,-1.3178,-1.1836,0.14964,-0.23787,0.095751,-0.28502,-0.29235
135,ACBD7,-4.0835,-4.5462,-0.1056,0.66795,-1.198,-0.010015,-0.42868,0.83266,-3.4192,0.025791,0.23061,0.1237
136,ACCS,-4.5166,-4.5703,0.0078824,0.66639,-0.19738,0.074225,-0.27506,-0.8451,-2.8123,-1.0398,-0.45136,-0.13568
137,ACCSL,-4.1774,-3.5754,-0.15645,-0.26461,-0.095987,-0.31965,0.41356,-0.79097,-4.1441,-0.23155,0.3478,0.021197
138,ACD,-5.0056,-2.9908,-0.2799,-1.0981,-0.041017,-1.0574,-0.63504,-0.16806,0.7737,-0.0068844,0.33144,0.65039
139,ACE,-4.6585,-4.1847,-0.084018,-0.34483,-3.0464,-0.32436,-0.73796,-0.52125,0.048689,-0.08049,-0.26198,-0.3695
140,ACE2,-5.4476,-5.8442,0.017627,0.78385,-0.023853,0.017966,-0.18898,2.2481,0.24748,-0.14268,0.7344,0.79977
141,ACER1,-4.9882,-4.6677,0.10595,0.0090093,-1.775,0.26141,0.10456,-0.6544,0.33078,0.18701,0.48714,0.15692
142,ACER2,-5.3503,-4.0551,-0.098569,0.53169,0.32586,-0.24982,-0.30085,0.11621,-0.88074,0.42032,-0.65397,-0.31038
143,ACER3,-4.0569,-3.7569,-0.3266,0.62689,-0.015253,0.074385,0.15797,-0.13561,1.3015,0.10707,-0.3578,-0.21104
144,ACHE,-5.5037,-4.6764,-0.3119,0.66552,-1.1772,-0.16344,0.48096,-0.97491,-6.049,0.166,0.093516,-0.090801
145,ACIN1,-5.3264,-5.1293,0.14727,0.57345,-1.294,-0.091481,0.23069,0.59119,-0.94841,0.027519,0.61851,0.001816
146,ACKR2,-4.584,-3.9997,-0.43442,0.18208,0.032764,-0.40878,-0.80756,-0.24403,-0.91686,-0.21524,0.05986,-0.2042
147,ACKR3,-4.7092,-5.7608,-0.027176,0.91576,-0.26025,-0.30303,-0.72902,-0.74517,-4.1581,-0.39691,-0.14922,0.043675
148,ACKR4,-4.9938,-3.9706,-0.31883,0.17541,0.39083,-0.23555,-0.10472,-0.041876,-0.79235,-0.3332,-0.32443,-0.15265
149,ACLY,-5.6433,-4.6652,0.024488,-0.44546,-0.48064,0.022835,0.0067344,-1.3363,-2.3712,1.0779,1.3559,-1.3026
150,ACMSD,-5.0687,-4.0435,-0.11973,0.41091,0.084994,-0.18394,-0.2022,-1.601,0.37488,-1.2591,0.31948,-0.14543
151,ACO1,-4.6324,-4.987,-0.22353,0.78386,0.14688,-0.051637,-0.035358,-0.17059,0.18027,0.85767,0.20846,-0.010103
152,ACO2,-5.5925,-4.6072,-0.59161,-1.2236,-0.24717,-1.0387,-1.0738,-0.33331,-6.1266,1.8249,2.21,1.2267
153,ACOT1,-4.8732,-3.9899,0.17091,0.60471,-1.8915,-0.31173,0.10261,-0.22765,-0.65485,-0.58638,0.10979,-0.33881
